"","filter_degrees","ma2_mape_values","mape_valuestest2"
"1",1,52.9771354155729,45.1909864023354
"2",2,52.2583592862701,43.5115189907841
"3",3,52.7834161139548,46.7055713353702
"4",4,53.1749276182484,47.2998653500493
"5",5,53.113804514251,48.7981818670737
"6",6,52.947727886847,50.0489521474211
"7",7,53.144323021697,48.4578737772223
"8",8,52.9110149448521,47.7821303516633
"9",9,53.1419351768302,47.9427716971893
"10",10,53.008362056417,46.2411075455125
"11",11,53.0080722080391,46.983341845837
"12",12,53.010191489079,46.5489967015047
"13",13,53.6675209499723,46.1415508490763
"14",14,53.8574963973399,46.9128384954205
"15",15,54.5577267602562,44.8386360991021
"16",16,55.014997099086,44.1813391029506
"17",17,55.9636776481316,43.2303022988318
"18",18,57.0761696846284,42.4720164519439
"19",19,57.2717709931677,42.7047249628044
"20",20,58.3677945358333,43.1083585518418
"21",21,59.8597996970818,43.1480788161799
"22",22,59.5419573468655,44.0522141806624
"23",23,58.9562226508556,44.4018666436995
"24",24,58.9347168632141,44.7437528599361
"25",25,58.8732552509172,46.1673285354805
"26",26,58.7251563840821,47.120723113811
"27",27,59.4371078986253,47.4810681987289
"28",28,59.5321658531834,46.7441717757852
"29",29,59.6564596199666,47.593337650254
"30",30,59.0112726903963,48.3016068047111
"31",31,58.8076489269013,48.7256879492126
"32",32,58.2655824299186,49.6109725150108
"33",33,57.5142691394623,50.617167756193
"34",34,57.2915765628443,51.2587650674638
"35",35,56.9050997428423,50.3869536580721
"36",36,56.8336929778908,50.7649217037186
"37",37,56.7490258813869,50.3813201595217
"38",38,56.8531775238577,51.447633095373
"39",39,56.8485171358098,53.0624156174272
"40",40,56.5221896240686,54.0413227923562
"41",41,56.7714946590744,53.7939977864878
"42",42,56.6234849676535,52.8600151451132
"43",43,56.8566640308345,53.8352275041893
"44",44,56.5243215831111,54.0546866557544
"45",45,56.4920196957773,53.9161810137839
"46",46,56.61148240757,53.8121156085019
"47",47,56.7086910615942,54.0181393669432
"48",48,57.2587520385501,54.677987724648
"49",49,57.6679857601683,54.698086632215
"50",50,57.6143478888787,55.8258673977983
"51",51,57.4577737347104,56.5412412282501
"52",52,57.6201957349089,56.6867605770184
"53",53,57.86886631764,57.3301798740471
"54",54,58.0684469285569,58.1799940536632
"55",55,58.258303268599,58.036008681465
"56",56,57.9025433508339,57.1973825089003
"57",57,57.5599437326377,56.7199045459692
"58",58,57.0630643979057,56.3262022560107
"59",59,56.5332347835146,56.0589327056029
"60",60,56.2006187083699,55.8234337645986
"61",61,55.9892572039864,55.2021503571218
"62",62,56.0369024652576,54.6042059312213
"63",63,55.9743678743735,54.113139328246
"64",64,56.00955152922,54.412712162521
"65",65,55.9910562184579,54.4419058309173
"66",66,56.1541607921843,54.4604164851144
"67",67,56.3876737680087,55.4146537825461
"68",68,56.6669210138971,56.4343186648597
"69",69,57.0196179990319,57.2367246724425
"70",70,57.2751576076151,57.1395083871919
"71",71,56.9833377624372,57.2942409023696
"72",72,56.7298993955323,57.4344943369159
"73",73,56.7488144872648,58.1542882059284
"74",74,56.952511217915,59.1987661699607
"75",75,57.3196075694918,60.0550404937328
"76",76,57.6983505774913,60.4796641416065
"77",77,58.0681763783369,60.3521406704468
"78",78,58.2390853981249,59.9356014608633
"79",79,58.5460026307501,59.39040748859
"80",80,58.7670826216223,59.9495997135732
"81",81,59.2998105567193,60.7861353970436
"82",82,59.6948321992972,61.6212785941966
"83",83,59.9068836599861,61.8882698898458
"84",84,59.9349745333262,61.7107856307169
"85",85,59.829975136839,61.7009901282379
"86",86,59.6226337946195,61.1209116472555
"87",87,59.4719353268091,61.381463448899
"88",88,59.5736595736951,62.0542577729371
"89",89,59.3904402707854,62.1605380134009
"90",90,59.2026497341096,61.9282528374547
"91",91,58.9488357479981,61.9437808369485
"92",92,58.4690184144181,62.4389314589499
"93",93,57.9357672072111,62.0968549754305
"94",94,57.6675986724792,62.4320065821143
"95",95,56.6543919660225,62.8289929740182
"96",96,57.3057900087163,63.4051256869984
"97",97,57.5729169011028,63.8933907683152
"98",98,57.4656944129851,63.3285465036767
"99",99,57.2580893354446,63.1138602454399
"100",100,57.2277612031869,63.3041785178584
"101",101,57.3684054187213,63.1264170294933
"102",102,57.0208027330233,63.729913830564
"103",103,57.7445332132394,64.4328335713695
"104",104,58.2476058631174,64.8941130077014
"105",105,58.5234402742385,64.6767625610754
"106",106,56.7455779166628,64.6255682769734
"107",107,58.298704717917,64.8504975017661
"108",108,58.3562697360927,65.0885639324707
"109",109,58.3873887792557,65.8364530330383
"110",110,58.4054778119775,65.9649008376642
"111",111,58.543871929217,65.8583489143862
"112",112,58.5623950909578,65.3074700855554
"113",113,58.6448477771967,64.9801250962584
"114",114,58.8478249745128,64.7073705234637
"115",115,59.2974777362057,65.3133238976725
"116",116,59.8334975294728,65.9567481964611
"117",117,60.3020371974453,66.596281560967
"118",118,60.7076300071797,67.1049598004402
"119",119,61.0877326685014,67.5420874653082
"120",120,61.4927762850346,67.9580442096095
"121",121,60.3257212762528,68.346481708331
"122",122,62.1583995249807,68.8173181131308
"123",123,62.5110030819832,69.3274945089917
"124",124,62.7574195661684,69.8056505310187
"125",125,63.0057986993054,70.0984614842022
"126",126,63.0671099288481,70.2715348324311
"127",127,63.1896631481209,70.0071426616739
"128",128,62.5498137490346,69.6095949671145
"129",129,62.9818873670829,69.0154892469326
"130",130,62.9665233051593,68.8498024366823
"131",131,62.9429898836507,68.5530933081467
"132",132,62.8793267307528,68.0904935726454
"133",133,62.7007301041319,67.6411610057758
"134",134,62.6900152100136,67.6709970723475
"135",135,62.0839467056866,67.8299692069752
"136",136,62.5268951205316,67.9865973520795
"137",137,61.8390350567963,68.0801346883685
"138",138,62.0474287712302,68.1602040621933
"139",139,61.9712655006068,67.8436022948656
"140",140,61.9676867406244,67.6029760280825
"141",141,60.4912831388148,67.8856495636557
"142",142,61.2316341719018,68.1525824225555
"143",143,62.0339612863115,68.147830195634
"144",144,62.0823184433974,68.2125567431341
"145",145,60.536961349674,68.2361622168148
"146",146,62.2517260676136,68.1167915678279
"147",147,61.0577495075003,67.8460752081487
"148",148,62.1851029808367,67.8829436769323
"149",149,62.0855205274086,67.8522337659683
"150",150,62.0344254652922,67.8608006282163
"151",151,61.983561776388,67.8085827889949
"152",152,62.018586371994,67.8666504505447
"153",153,62.1041317831789,67.8531701832267
"154",154,62.1064096629946,67.7317166624823
"155",155,62.142780461295,67.9450277287205
"156",156,62.1233941393587,68.1235578254097
"157",157,62.2182576202003,68.2255376636319
"158",158,62.3494400057956,68.3684049812293
"159",159,62.4019350212636,68.51994273242
"160",160,62.6059709656276,68.5654464756486
"161",161,62.6761583080098,68.4655513583203
"162",162,62.6830671754271,68.726806865601
"163",163,62.7418986939768,68.7702232545719
"164",164,62.8340448272179,68.8638955032784
"165",165,62.8207671169377,68.880730615922
"166",166,62.9140483766293,69.1537879413219
"167",167,62.7901414980071,69.2052990375429
"168",168,62.9059197053596,69.0935866214181
"169",169,62.8195072066515,69.2351323580516
"170",170,62.7826925126147,69.3359597531956
"171",171,62.7385510507986,69.2138490040271
"172",172,62.808622274949,69.4740282056482
"173",173,62.9366451013338,69.6614377429597
"174",174,62.9983653052377,69.7872118680968
"175",175,63.0192245028802,69.5766505176153
"176",176,63.0752687669138,69.809272468888
"177",177,63.0952406739548,70.0696071647203
"178",178,63.1153419811431,70.1726453590766
"179",179,63.2348076669746,70.5486895314585
"180",180,63.2936989589252,70.8377492787902
"181",181,63.3255615560723,70.7314189202106
"182",182,63.2491573415197,70.4577376817747
"183",183,63.1553379474451,70.2828302840822
"184",184,63.0001616474396,70.1765186593535
"185",185,63.0374293086575,70.2276955596561
"186",186,62.9474959619868,70.4479347181791
"187",187,63.0817072203854,70.6283062679486
"188",188,63.1375004688132,70.5969670075093
"189",189,63.0860525547249,70.2970763144296
"190",190,63.0610046069551,70.4984802755604
"191",191,63.0285161522152,70.7115438978211
"192",192,62.9980068345083,70.9602436994996
"193",193,62.955383184739,71.2597687399084
"194",194,62.8144432064162,71.4230590479751
"195",195,62.7298516430413,71.4202319111708
"196",196,62.4763433013873,71.1675588323359
"197",197,62.2222440530604,71.2836231839617
"198",198,61.9718873641305,71.2860487898318
"199",199,61.7889816700187,71.1139014758041
"200",200,61.6157305322754,70.8460282358668
